FOOD_ID,F_NAME,F_TYPE,F_NUTR,F_ENERGY,F_PROTEIN,F_PROVINCE,F_CARBO,F_SUGAR,F_SODIUM,F_COL,F_SAT,F_TRANS,F_PRICE,F_IMG,CREATED_AT,F_TAGS
R-001,검정콩밥,밥류,200,272,6.6,1.58,55.2,0.7,2,0,0.34,0,1700,/image/rice_image/검정콩밥.png,2025-04-11 14:54:09,[]
R-002,귀리밥,밥류,200,324,7.8,1.74,69.08,0.18,0,0,0.32,0,810,/image/rice_image/귀리밥.png,2025-04-11 14:54:09,[]
R-003,보리밥,밥류,200,322,5.8,0.48,73.54,5.14,8,0,0.2,0,1610,/image/rice_image/보리밥.png,2025-04-11 14:54:09,[]
R-004,수수밥,밥류,200,322,6.32,1.84,70.04,0.16,2,0,0.26,0,1610,/image/rice_image/수수밥.png,2025-04-11 14:54:09,[]
R-005,현미밥,밥류,200,258,5.2,1.44,55.18,0.82,16,0,0.34,0,1612,/image/rice_image/현미밥.png,2025-04-11 14:54:09,[]
R-006,쌀밥,밥류,200,332,6.72,0.64,74.66,0.04,0,0,0.2,0,830,/image/rice_image/쌀밥.png,2025-04-11 14:54:09,[]
R-007,오곡밥,밥류,200,312,9.56,1.04,65.86,0.14,92,0,0.34,0,1950,/image/rice_image/오곡밥.png,2025-04-11 14:54:09,[]
R-008,잡곡밥,밥류,200,292,10.6,1.74,58.66,0.64,6,0,0.44,0,1460,/image/rice_image/잡곡밥.png,2025-04-11 14:54:10,[]
R-009,차조밥,밥류,200,314,5.68,1.3,69.72,0.08,2,0,0.28,0,1570,/image/rice_image/차조밥.png,2025-04-11 14:54:10,[]
R-010,찰밥,밥류,200,306,8.78,0.36,67.12,0.98,6,0,0.16,0,2142,/image/rice_image/찰밥.png,2025-04-11 14:54:10,[]
R-011,흑미밥,밥류,200,240,4.6,0.74,51.46,0.34,2,0,0.2,0,1800,/image/rice_image/흑미밥.png,2025-04-11 14:54:10,[]
S-001,가지냉국,국류,160,30.4,1.1,0.39,3.42,1.4,654,0,0.08,0,800,/image/soup_image/가지냉국.png,2025-04-11 14:54:10,"['저지방', '국물요리', '저단백', '중간당', '저칼로리', '가지']"
S-002,갈비탕,국류,670,361.8,8.51,2.06,0.4,0.11,199,31.46,0.79,0.06,8108,/image/soup_image/갈비탕.png,2025-04-11 14:54:10,"['저당', '고칼로리', '국물요리', '고단백', '고지방']"
S-003,감자 된장국_두부,국류,193.4,61.89,2.4,0.77,4,0.36,207,5.18,0.13,0,940,/image/soup_image/감자 된장국_두부.png,2025-04-11 14:54:10,"['저당', '감자', '두부', '저지방', '국물요리', '발효국', '저칼로리', '중단백']"
S-004,감자 호박된장국,국류,320,80,2.1,0.43,3.51,0.55,377,9.39,0.09,0,1532,/image/soup_image/감자 호박된장국.png,2025-04-11 14:54:10,"['저당', '감자', '저지방', '국물요리', '호박', '발효국', '저칼로리', '중단백']"
S-005,감자국,국류,400,84,0.9,0.26,3.67,0.85,215,0,0.03,0,2508,/image/soup_image/감자국.png,2025-04-11 14:54:10,"['저당', '저지방', '국물요리', '저단백', '감자', '저칼로리']"
S-006,건새우 미역국,국류,320,86.4,3.8,1.04,0.92,0,364,22.55,0.17,0,1600,/image/soup_image/건새우 미역국.png,2025-04-11 14:54:11,"['중지방', '저당', '국물요리', '미역', '새우', '저칼로리', '중단백']"
S-007,게국지,국류,1100,418,4.08,1.1,2.88,0.98,368,35.29,0.18,0.02,5500,/image/soup_image/게국지.png,2025-04-11 14:54:11,"['중지방', '저당', '고칼로리', '국물요리', '중단백']"
S-008,고디국(다슬기맑은국),국류,300,51,1.4,0.71,1.58,0.23,96,1.02,0.07,0,1500,/image/soup_image/고디국(다슬기맑은국).png,2025-04-11 14:54:11,"['저당', '저지방', '국물요리', '저단백', '저칼로리']"
